Date,Open,Close,High,Low
2018-08-16,106.04,105.94,106.61,105.39
2018-08-15,106.84,105.67,107.69,105.17
2018-08-14,107.6,106.82,108.54,106.2
2018-08-13,108.54,107.46,108.54,106.49
2018-08-10,112.35,109.41,112.35,108.13
2018-08-09,113.52,113.06,113.52,112.49
2018-08-08,113.99,113.57,114.3,113.2
2018-08-07,113.36,114.08,114.46,113.36
2018-08-06,113.55,113.25,113.9,112.57
2018-08-03,113.3,113.6,114.2,112.54
2018-08-02,115.57,113.1,115.57,112.59
2018-08-01,117.27,115.52,117.58,115.52
2018-07-31,115.13,116.73,117.3,115.13
2018-07-30,114.43,115.24,115.45,114.34
2018-07-27,113.9,114.94,115.64,113.9
2018-07-26,112.7,113.72,114.22,112.7
2018-07-25,113.29,112.63,113.78,112.38
2018-07-24,111.22,113.27,113.58,111.22
2018-07-23,110.11,110.8,111.07,109.6
2018-07-20,110.09,110.11,110.39,109.0
2018-07-19,110.66,110.3,111.5,109.92
2018-07-18,110.71,110.77,110.79,109.34
2018-07-17,111.06,110.65,111.79,110.21
2018-07-16,110.68,111.1,112.22,110.31
2018-07-13,110.8,110.62,111.16,110.05
2018-07-12,110.85,110.59,111.16,109.75
2018-07-11,111.88,110.63,111.91,110.47
2018-07-10,113.87,112.57,113.95,112.01
2018-07-09,113.6,113.73,114.24,113.26
2018-07-06,113.22,113.15,113.96,112.32
2018-07-05,111.44,113.0,114.38,111.44
2018-07-04,110.3,111.34,111.52,110.23
2018-07-03,110.11,110.62,111.56,109.32
2018-07-02,109.96,109.7,109.96,107.69
2018-06-29,110.2,110.45,112.36,110.2
2018-06-28,108.99,109.55,110.0,108.48
2018-06-27,109.71,109.41,110.37,107.4
2018-06-26,110.66,109.89,111.09,109.57
2018-06-25,111.83,110.23,111.83,110.23
2018-06-22,111.45,112.6,113.25,111.45
2018-06-21,112.84,111.24,113.4,110.69
2018-06-20,112.62,112.8,113.82,112.62
2018-06-19,111.28,111.94,112.52,109.42
2018-06-18,111.76,111.62,112.77,111.14
2018-06-15,114.13,111.98,114.24,110.64
2018-06-14,114.16,114.13,114.62,113.34
2018-06-13,114.95,114.37,115.41,114.15
2018-06-12,115.51,114.96,115.91,114.48
2018-06-11,112.59,114.99,115.22,112.59
2018-06-08,112.65,111.82,112.65,111.14
2018-06-07,113.05,113.0,115.16,112.63
2018-06-06,111.27,112.45,112.6,110.18
2018-06-05,113.79,111.28,114.28,111.28
2018-06-04,114.6,113.69,115.42,113.22
2018-06-01,111.02,113.43,114.53,111.02
2018-05-31,112.6,110.33,114.15,109.3
2018-05-30,111.16,112.18,113.06,110.19
2018-05-29,116.5,112.31,116.5,111.39
2018-05-28,119.47,117.51,121.62,116.42
2018-05-25,121.82,119.51,122.07,118.19
2018-05-24,123.71,121.78,124.08,121.03
2018-05-23,125.26,123.44,125.26,122.84
2018-05-22,123.35,125.31,125.6,123.35
2018-05-18,126.48,124.41,126.63,124.06
2018-05-17,126.69,126.59,127.46,125.76
2018-05-16,129.19,126.54,129.19,126.05
2018-05-15,129.5,129.48,130.37,128.81
2018-05-14,129.96,129.6,130.15,129.09
2018-05-11,129.38,129.93,130.0,129.35
2018-05-10,129.29,129.53,129.75,128.59
2018-05-09,128.41,129.07,129.36,128.38
2018-05-08,128.98,128.36,129.54,127.3
2018-05-07,128.78,129.05,129.16,128.21
2018-05-04,128.45,128.91,128.91,127.14
2018-05-03,130.6,128.86,130.77,128.38
2018-05-02,130.09,130.74,131.03,130.09
2018-04-30,129.61,130.08,130.26,129.44
2018-04-27,129.86,129.64,130.17,128.79
2018-04-26,129.96,129.88,130.71,129.28
2018-04-25,131.43,130.05,131.43,129.0
2018-04-24,131.98,131.58,131.98,130.82
2018-04-23,130.55,131.97,131.97,130.41
2018-04-20,130.07,130.58,130.65,129.81
2018-04-19,129.26,130.09,130.15,129.25
2018-04-18,128.83,129.38,129.61,128.59
2018-04-17,128.22,128.76,129.3,128.22
2018-04-16,127.95,128.0,128.46,127.7
2018-04-13,127.53,127.8,129.59,127.25
2018-04-12,126.22,127.51,127.92,126.22
2018-04-11,126.87,126.24,127.24,126.03
2018-04-10,126.91,127.09,127.48,126.49
2018-04-09,126.75,126.73,127.73,126.11
2018-04-06,127.13,126.22,127.31,125.9
2018-04-05,124.45,127.68,128.22,124.45
2018-04-04,124.6,124.17,124.73,122.13
2018-04-03,125.51,124.66,125.6,123.99
2018-03-29,125.28,125.69,126.71,125.28
2018-03-28,123.89,125.15,125.15,122.57
2018-03-27,124.14,124.56,125.96,124.14
2018-03-26,124.35,123.72,124.98,123.07
2018-03-23,125.0,124.2,125.0,122.89
2018-03-22,128.09,125.46,128.36,124.18
